\AskeyWilson{n}@{x}{a}{b}{c}{d}{q},Askey-Wilson polynomial,Askey-Wilson-polynomial-p,P|F:P,$p_{n}$,http://dlmf.nist.gov/18.28#E1,
\AskeyWilsonp{n}@{x}{a}{b}{c}{d}{q},Askey-Wilson polynomial,Askey-Wilson-polynomial-p,P|F:P,$p_{n}$,http://dlmf.nist.gov/18.28#E1,
\AssJacobiP{\alpha}{\beta}{n}@{x}{c},associated Jacobi polynomial,associated-Jacobi-polynomial-P,P|F:P,"$P^{(\alpha,\alpha)}_{n}$",http://dlmf.nist.gov/18.30#E4,
\AssLegendrePoly{n}@{x}{c},associated Legendre polynomial,Legendre-spherical-polynomial-P,F|F:P,$P_{n}$,http://dlmf.nist.gov/18.30#E6,
\Atan@@{z},general inverse tangent function,multivalued-inverse-tangent,F|F:P:nP,$\mathrm{Arctan}$,http://dlmf.nist.gov/4.23#E3,
\Atanh@@{z},general inverse hyperbolic tangent function,multivalued-hyperbolic-inverse-tangent,F|F:P:nP,$\mathrm{Arctanh}$,http://dlmf.nist.gov/4.37#E3,
\BarnesGamma@{z},Barnes $G$-function (or double gamma function),Barnes-Gamma,F|F:P,$G$,http://dlmf.nist.gov/5.17#E1,
\BellNumber@{n},Bell number,Bell-number,I|F:P,$B$,http://dlmf.nist.gov/26.7#i,
\BernoulliB{n}@{x},Bernoulli polynomial,Bernoulli-polynomial-B,P|F:P,$B_{n}$,http://dlmf.nist.gov/24.2#i,
\BesselA{\nu}@{\Matrix{T}},Bessel function of matrix argument of the first kind,Bessel-of-matrix-A,F|F:P,$A_{\nu}$,http://dlmf.nist.gov/35.5#i,
\BesselB{\nu}@{\Matrix{T}},Bessel function of matrix argument of the second kind,Bessel-of-matrix-B,F|F:P,$B_{\nu}$,http://dlmf.nist.gov/35.5#E3,
\BesselI{\nu}@{z},modified Bessel function of the first kind,modified-Bessel-first-kind,F|F:P,$I_{\nu}$,http://dlmf.nist.gov/23.1,
\BesselItilde{\nu}@{x},modified Bessel function of the first kind of imaginary order,modified-Bessel-first-kind-imaginary-order,F|F:P,$\widetilde{I}_{\nu}$,http://dlmf.nist.gov/23.1,
\BesselJ{\nu}@{z},Bessel function of the first kind,Bessel-J,F|F:P,$J_{\nu}$,http://dlmf.nist.gov/10.2#E2,
\BesselJtilde{\nu}@{x},Bessel function of the first kind of imaginary order,Bessel-J-imaginary-order,F|F:P,$\widetilde{J}_{\nu}$,http://dlmf.nist.gov/10.24#Ex1,
\BesselK{\nu}@{z},modified Bessel function of the second kind,modified-Bessel-second-kind,F|F:P,$K_{\nu}$,http://dlmf.nist.gov/23.1,
\BesselKtilde{\nu}@{x},modified Bessel function of the second kind of imaginary order,modified-Bessel-second-kind-imaginary-order,F|F:P,$\widetilde{K}_{\nu}$,http://dlmf.nist.gov/10.45#E2,
\BesselModulusM{\nu}@{x},modulus of Bessel functions,modulus-Bessel-M,F|F:P,$M_{\nu}$,http://dlmf.nist.gov/10.18#E1,
\BesselModulusN{\nu}@{x},modulus of derivatives of Bessel functions,modulus-Bessel-N,F|F:P,$N_{\nu}$,http://dlmf.nist.gov/10.18#E2,
\BesselPhasePhi{\nu}@{x},phase of derivatives of Bessel functions,phase-Bessel-Phi,F|F:P,$\phi_{\nu}$,http://dlmf.nist.gov/10.18#E3,
\BesselPhaseTheta{\nu}@{x},phase of Bessel functions,phase-Bessel-Theta,F|F:P,$\theta_{\nu}$,http://dlmf.nist.gov/10.18#E3,
\BesselPoly{n}@{x}{a},Bessel polynomial,Bessel-polynomial-y,P|F:P,$y_{n}$,http://dlmf.nist.gov/18.34#E1,
\BesselPolyy{n}@{x}{a},Bessel polynomial,Bessel-polynomial-y,P|F:P,$y_{n}$,http://dlmf.nist.gov/18.34#E1,
\BesselY{\nu}@{z},Bessel function of the second kind,Bessel-Y-Weber,F|F:P,$Y_{\nu}$,http://dlmf.nist.gov/10.2#E3,
\BesselYtilde{\nu}@{x},Bessel function of the second kind of imaginary order,Bessel-Y-Weber-imaginary-order,F|F:P,$\widetilde{Y}_{\nu}$,http://dlmf.nist.gov/10.24#Ex1,
\BickleyKi{\alpha}@{x},Bickley function,Bickley-Ki,F|F:P,$\mathrm{Ki}_{\alpha}$,http://dlmf.nist.gov/10.43#E11,
\BigO@{x},order not exceeding,Big-O,Q|F:P,$O$,http://dlmf.nist.gov/2.1#E3,
\CanonicInt{K}@{\Vector{x}},canonical integral $\Psi_K$,canonical-integral,F|F:P,$\Psi_{K}$,http://dlmf.nist.gov/36.2#E4,
\CanonicIntU@{\Vector{x}},umbilic canonical integral $\Psi^{({\rm U})}$,canonical-umbilic-integral,F|F:P,$\Psi^{(\mathrm{U})}$,http://dlmf.nist.gov/36.2#E5,
\CanonicIntE@{\Vector{x}},elliptic umbilic canonical integral $\Psi^{({\rm E})}$,elliptic-umbilic-canonical-integral,F|F:P,$\Psi^{(\mathrm{E})}$,http://dlmf.nist.gov/36.2#E6,
\CanonicIntH@{\Vector{x}},hyperbolic umbilic canonical integral $\Psi^{({\rm H})}$,hyperbolic-umbilic-canonical-integral,F|F:P,$\Psi^{(\mathrm{H})}$,http://dlmf.nist.gov/36.2#E8,
\CatalanNumber@{n},Catalan number,Catalan-number,I|F:P,$C$,http://dlmf.nist.gov/26.5#E1,
\CatalansConstant,Catalan's constant,Catalan's-constant,C|F,$G$,http://dlmf.nist.gov/25.11.E40,
\Charlier{n}@{x}{a},Charlier polynomial,Charlier-polynomial-C,P|F:P,$C_{n}$,http://dlmf.nist.gov/18.19#T1.t1.r11,
\CharlierC{n}@{x}{a},Charlier polynomial,Charlier-polynomial-C,P|F:P,$C_{n}$,http://dlmf.nist.gov/18.19#T1.t1.r11,
\ChebyC{n}@{x},dilated Chebyshev polynomial of the first kind,dilated-Chebyshev-polynomial-second-kind-C,P|F:P,$C_{n}$,http://dlmf.nist.gov/18.1#E3,
\ChebyS{n}@{x},dilated Chebyshev polynomial of the second kind,dilated-Chebyshev-polynomial-first-kind-S,P|F:P,$S_{n}$,http://dlmf.nist.gov/18.1#E3,
\ChebyT{n}@{x},Chebyshev polynomial of the first kind,Chebyshev-polynomial-first-kind-T,P|F:P,$T_{n}$,http://dlmf.nist.gov/18.3#T1.t1.r8,
\ChebyTs{n}@{x},shifted Chebyshev polynomial of the first kind,shifted-Chebyshev-polynomial-first-kind-T-star,P|F:P,$T^{*}_{n}$,http://dlmf.nist.gov/18.3#T1.t1.r20,
\ChebyU{n}@{x},Chebyshev polynomial of the second kind,Chebyshev-polynomial-second-kind-U,P|F:P,$U_{n}$,http://dlmf.nist.gov/18.3#T1.t1.r11,
\ChebyUs{n}@{x},shifted Chebyshev polynomial of the second kind,shifted-Chebyshev-polynomial-second-kind-U-star,P|F:P,$U^{*}_{n}$,http://dlmf.nist.gov/18.3#T1.t1.r23,
\ChebyV{n}@{x},Chebyshev polynomial of the third kind,Chebyshev-polynomial-third-kind-V,P|F:P,$V_{n}$,http://dlmf.nist.gov/18.3#T1.t1.r14,
\ChebyW{n}@{x},Chebyshev polynomial of the fourth kind,Chebyshev-polynomial-fourth-kind-W,P|F:P,$W_{n}$,http://dlmf.nist.gov/18.3#T1.t1.r17,
\ChebyshevPsi@{x},Chebyshev $\ChebyshevPsi$-function,Chebyshev-psi,F|F:P,$\psi$,http://dlmf.nist.gov/25.16#E1,
\CiglerqChebyT{n}@{x}{s}{q},Cigler $q$-Chebyshev polynomial $T$,Cigler-q-Chebyshev-polynomial-T,P|P:F,$T_{n}$,http://drmf.wmflabs.org/wiki/Definition:CiglerqChebyT,
\CiglerqChebyU{n}@{x}{s}{q},Cigler $q$-Chebyshev polynomial $U$,Cigler-q-Chebyshev-polynomial-U,P|P:F,$U_{n}$,http://drmf.wmflabs.org/wiki/Definition:CiglerqChebyU,
\CompEllIntCE@@{k},Legendre's complementary complete elliptic integral of the second kind,complementary-complete-elliptic-integral-second-kind-E,F|F:P:nP,${E'}$,http://dlmf.nist.gov/19.2#E9,
\CompEllIntCK@@{k},Legendre's complementary complete elliptic integral of the first kind,complementary-complete-elliptic-integral-first-kind-K,F|F:P:nP,${K'}$,http://dlmf.nist.gov/19.2#E9,
\CompEllIntD@@{k},complete elliptic integral of Legendre's type,complete-elliptic-integral-D,F|F:P:nP,$D$,http://dlmf.nist.gov/19.2#E8,
\CompEllIntE@@{k},Legendre's complete elliptic integral of the second kind,complete-elliptic-integral-second-kind-E,F|F:P:nP,$E$,http://dlmf.nist.gov/19.2#E8,
\CompEllIntK@@{k},Legendre's complete elliptic integral of the first kind,complete-elliptic-integral-first-kind-K,F|F:P:nP,$K$,http://dlmf.nist.gov/19.2#E8,
\CompEllIntPi@{\alpha^2}{k},Legendre's complete elliptic integral of the third kind,complete-elliptic-integral-third-kind-Pi,F|F:P,$\Pi$,http://dlmf.nist.gov/19.2#E8,
\Complex,set of complex numbers,EMPTY,SN|F,$\mathbb{C}$,http://dlmf.nist.gov/front/introduction#Sx4.p1.t1.r1,
\ComplexZeroAiryBi{k},$k$\textsuperscript{th} complex zero of Airy $\AiryBi$,complex-zero-Airy-Bi,F|F,$\beta_{k}$,http://dlmf.nist.gov/9.9#SS1.p2,
\ComplexZeroAiryBiPrime{k},$k$\textsuperscript{th} complex zero of Airy $\AiryBi'$,complex-zero-derivative-Airy-Bi,F|F,$\beta'_{k}$,http://dlmf.nist.gov/9.9#SS1.p2,
\CompositionsC[m]@{n},number of compositions,number-of-compositions-C,I|F:F:P:P,$c_{m}$,http://dlmf.nist.gov/26.11#p1,
\CosInt@{z},cosine integral ${\rm Ci}$,cosine-integral,F|F:P,$\mathrm{Ci}$,http://dlmf.nist.gov/6.2#E11,
\CosIntCin@{z},cosine integral ${\rm Cin}$,cosine-integral-Cin,F|F:P,$\mathrm{Cin}$,http://dlmf.nist.gov/6.2#E12,
\CosIntg@{a}{z},generalized cosine integral ${\rm Ci}$,generalized-cosine-integral-Ci,F|F:P,$\mathrm{Ci}$,http://dlmf.nist.gov/8.21#E2,
\CoshInt@{z},hyperbolic cosine integral,hyperbolic-cosine-integral,F|F:P,$\mathrm{Chi}$,http://dlmf.nist.gov/6.2#E16,
\CoulombC{\ell}@{\eta},normalizing constant for Coulomb radial functions,Coulomb-C,F|F:P,$C_{\ell}$,http://dlmf.nist.gov/33.2#E5,
\CoulombF{\ell}@{\eta}{\rho},regular Coulomb radial function,regular-Coulomb-F,F|F:P,$F_{\ell}$,http://dlmf.nist.gov/33.2#E3,
\CoulombG{\ell}@{\eta}{\rho},irregular Coulomb radial function,irregular-Coulomb-G,F|F:P,$G_{\ell}$,http://dlmf.nist.gov/33.2#E11,
\CoulombH{\pm}{\ell}@{\eta}{\rho},irregular Coulomb radial functions,irregular-Coulomb-H,F|F:P,${H^{\pm}_{\ell}}$,http://dlmf.nist.gov/33.2#E7,
\CoulombM{\ell}@{\eta}{\rho},envelope of Coulomb functions,envelope-Coulomb-M,F|F:P,$M_{\ell}$,http://dlmf.nist.gov/33.3#E1,
\CoulombSigma{\ell}@{\eta},Coulomb phase shift,Coulomb-phase-shift,F|F:P,${\sigma_{\ell}}$,http://dlmf.nist.gov/33.2#E10,
\CoulombTheta{\ell}@{\eta}{\rho},phase of Coulomb functions,Coulomb-phase,F|F:P,${\theta_{\ell}}$,http://dlmf.nist.gov/33.2#E9,
\Coulombc@{\epsilon}{\ell}{r},irregular Coulomb function $c$,Coulomb-c,F|F:P,$c$,http://dlmf.nist.gov/23.1,
\Coulombf@{\epsilon}{\ell}{r},regular Coulomb function $f$,Coulomb-f,F|F:P,$f$,http://dlmf.nist.gov/33.14#E4,
\Coulombh@{\epsilon}{\ell}{r},irregular Coulomb function $h$,Coulomb-h,F|F:P,$h$,http://dlmf.nist.gov/33.14#E7,
\Coulombrhotp@{\eta}{\ell},outer turning point for Coulomb radial functions,Coulomb-radial-outer-turning-point,F|F:P,$\rho_{\mathrm{tp}}$,http://dlmf.nist.gov/33.2#E2,
\Coulombrtp@{\epsilon}{\ell},outer turning point for Coulomb functions,Coulomb-outer-turning-point,F|F:P,$r_{\mathrm{tp}}$,http://dlmf.nist.gov/33.14#E3,
\Coulombs@{\epsilon}{\ell}{r},regular Coulomb function $s$,Coulomb-s,F|F:P,$s$,http://dlmf.nist.gov/33.14#E9,
\CuspCat{K}@{t}{\Vector{x}},cuspoid catastrophe,cuspoid-catastrophe,F|F:P,$\Phi_{K}$,http://dlmf.nist.gov/36.2#E1,
\Cylinder{\nu}@{z},cylinder function,cylinder-function,F|F:P,$\mathscr{C}_{\nu}$,http://dlmf.nist.gov/10.2#P5.p1,
\DawsonsInt@{z},Dawson's integral,Dawsons-integral,F|F:P,$F$,http://dlmf.nist.gov/7.2#E5,
\DedekindModularEta@{\tau},Dedekind's eta function (or Dedekind modular function),Dedekind-modular-Eta,F|F:P,$\eta$,http://dlmf.nist.gov/23.15#E9,http://dlmf.nist.gov/27.14#E12
\DiffCat{K}@{\Vector{x}}{k},diffraction catastrophe,diffraction-catastrophe,F|F:P,$\Psi_{K}$,http://dlmf.nist.gov/36.2#E10,
\DiffCatE@{\Vector{x}}{k},elliptic umbilic canonical integral function,diffraction-elliptic-umbilic-catastrophe,F|F:P,$\Psi^{(\mathrm{E})}$,http://dlmf.nist.gov/23.1,
\DiffCatH@{\Vector{x}}{k},hyperbolic umbilic canonical integral function,diffraction-hyperbolic-umbilic-catastrophe,F|F:P,$\Psi^{(\mathrm{H})}$,http://dlmf.nist.gov/36.2#E11,
\DiffCatU@{\Vector{x}}{k},umbilic canonical integral function,diffraction-umbilic-catastrophe,F|F:P,$\Psi^{(\mathrm{U})}$,http://dlmf.nist.gov/36.2#E11,
\Dilogarithm@{z},dilogarithm,dilogarithm,F|F:P,$\mathrm{Li}_2$,http://dlmf.nist.gov/25.12#E1,
\Diracdelta@{x-a},Dirac delta (or Dirac delta function),Dirac-delta,D|F:P,$\Diracdelta@{x-a}$,http://dlmf.nist.gov/1.17#SS1.p1,
\DirichletCharacter@@{n}{k},Dirichlet character,Dirichlet-character,I|F:P:nP,$\chi$,http://dlmf.nist.gov/27.8,
\DirichletL@{s}{\chi},Dirichlet $\DirichletL$-function,Dirichlet-L,F|F:P,$L$,http://dlmf.nist.gov/25.15#E1,
\DiscriminantDelta@{\tau},discriminant function,discriminant-delta,F|F:P,$\Delta$,http://dlmf.nist.gov/27.14#E16,
\DiskOP{\alpha}{m}{n}@{z},disk polynomial,disk-orthogonal-polynomial-R,P|F:P,"$R^{(\alpha)}_{m,n}$",http://dlmf.nist.gov/18.37#E1,
\Distribution{f}{g},distribution,EMPTY,D|F,"$\left\langle f,g\right\rangle$",http://dlmf.nist.gov/1.16#SS1.p5,
\DivisorFunctionD[k]@{n},divisor function,divisor-function-D,F|F:P,$d_{k}$,http://dlmf.nist.gov/27.2#E9,
\DivisorSigma{\alpha}@{n},sum of powers of divisors,divisor-sigma,I|F:P,$\sigma_{\alpha}$,http://dlmf.nist.gov/27.2#E10,
\EllIntD@{\phi}{k},incomplete elliptic integral of Legendre's type,elliptic-integral-third-kind-D,F|F:P,$D$,http://dlmf.nist.gov/19.2#E6,
\EllIntE@{\phi}{k},Legendre's incomplete elliptic integral of the second kind,elliptic-integral-second-kind-E,F|F:P,$E$,http://dlmf.nist.gov/19.2#E5,
\EllIntF@{\phi}{k},Legendre's incomplete elliptic integral of the first kind,elliptic-integral-first-kind-F,F|F:P,$F$,http://dlmf.nist.gov/19.2#E4,
\EllIntPi@{\phi}{\alpha^2}{k},Legendre's incomplete elliptic integral of the third kind,elliptic-integral-third-kind-Pi,F|F:P,$\Pi$,http://dlmf.nist.gov/19.2#E7,
\EllIntR{-a}@{\Vector{b}}{\Vector{z}},Carlson integral $R_{-a}$,Carlson-integral-R,F|F:P,$R_{-a}$,http://dlmf.nist.gov/19.16#E9,
\EllIntRC@@{x}{y},Carlson's elliptic integral $R_C$,Carlson-integral-RC,F|F:P:nP,$R_C$,http://dlmf.nist.gov/19.2#E17,
\EllIntRD@@{x}{y}{z},Carlson's elliptic integral $R_D$,Carlson-integral-RD,F|F:P:nP,$R_D$,http://dlmf.nist.gov/19.16#E5,
\EllIntRF@@{x}{y}{z},Carlson's symmetric elliptic integral of first kind,Carlson-integral-RF,F|F:P:nP,$R_F$,http://dlmf.nist.gov/19.16#E1,
\EllIntRG@@{x}{y}{z},Carlson's symmetric elliptic integral of second kind,Carlson-integral-RG,F|F:P:nP,$R_G$,http://dlmf.nist.gov/19.16#E3,
\EllIntRJ@@{x}{y}{z}{p},Carlson's symmetric elliptic integral of third kind,Carlson-integral-RJ,F|F:P:nP,$R_J$,http://dlmf.nist.gov/19.16#E2,
\EllIntcel@{k_c}{p}{a}{b},Bulirsch's complete elliptic integral,Bulirsch-integral-cel,F|F:P,$\mathrm{cel}$,http://dlmf.nist.gov/19.2#E11,
\EllIntelone@{x}{k_c},Bulirsch's incomplete elliptic integral of the first kind,Bulirsch-integral-el-1,F|F:P,$\mathrm{el1}$,http://dlmf.nist.gov/19.2#E15,
\EllIntelthree@{x}{k_c}{p},Bulirsch's incomplete elliptic integral of the third kind,Bulirsch-integral-el-3,F|F:P,$\mathrm{el3}$,http://dlmf.nist.gov/19.2#E16,
\EllInteltwo@{x}{k_c}{a}{b},Bulirsch's incomplete elliptic integral of the second kind,Bulirsch-integral-el-2,F|F:P,$\mathrm{el2}$,http://dlmf.nist.gov/19.2#E12,
\EulerBeta@{a}{b},beta function,Euler-Beta,F|F:P,$\mathrm{B}$,http://dlmf.nist.gov/5.12#E1,
\EulerConstant,Euler's (Euler-Mascheroni) constant,EMPTY,C|F,$\gamma$,http://dlmf.nist.gov/5.2#E3,
\EulerE{n}@{x},Euler polynomial,Euler-polynomial-E,P|F:P,$E_{n}$,http://dlmf.nist.gov/24.2#ii,
\EulerGamma@{z},Euler's gamma function,Euler-Gamma,F|F:P,$\Gamma$,http://dlmf.nist.gov/5.2#E1,
\EulerPhi@{x},Euler's reciprocal function,Euler-phi,F|F:P,$\mathit{f}$,http://dlmf.nist.gov/27.14#E2,
\EulerSumH@{s},Euler sums,Euler-sum-H,F|F:P,$H$,http://dlmf.nist.gov/25.16#SS2.p1,
\EulerTotientPhi[k]@{n},Euler's totient $\phi_k(n)$,Euler-totient-phi,I|F:P,$\phi_{k}$,http://dlmf.nist.gov/27.2#E6,
\EulerianNumber{n}{k},Eulerian number,Eulerian-number,I|F,$\left\langle n\atop k\right\rangle$,http://dlmf.nist.gov/26.14#SS1.p3,
\ExpInt@{z},exponential integral $E_1$,exponential-integral,F|F:P,$E_1$,http://dlmf.nist.gov/6.2#E1,
\ExpIntEin@{z},complementary exponential integral ${\rm Ein}$,complementary-exponential-integral,F|F:P,$\mathrm{Ein}$,http://dlmf.nist.gov/6.2#E3,
\ExpInti@{x},exponential integral ${\rm Ei}$,exponential-integral-Ei,F|F:P,$\mathrm{Ei}$,http://dlmf.nist.gov/6.2#E1,
\ExpIntn{p}@{z},generalized exponential integral,exponential-integral-En,F|F:P,$E_{p}$,http://dlmf.nist.gov/8.19#E1,
\FerrersHatQ[-\mu]{-\frac{1}{2}+i\tau}@{x},conical function $\widehat{\mathsf{Q}}_\nu^\mu$,Ferrers-conical-legendre-Q-hat,F|FO:PO:FnO:PnO,$\widehat{\mathsf{Q}}_\nu^\mu$,http://dlmf.nist.gov/14.20#E2,
\FerrersP[\mu]{\nu}@{x},Ferrers function of the first kind,Ferrers-Legendre-P-first-kind,F|FO:PO:FnO:PnO,$\mathsf{P}_\nu^\mu$,http://dlmf.nist.gov/14.3#E1,
\FerrersQ[\mu]{\nu}@{x},Ferrers function of the second kind,Ferrers-Legendre-Q-first-kind,F|FO:PO:FnO:PnO,$\mathsf{Q}_\nu^\mu$,http://dlmf.nist.gov/14.3#E2,
\FishersHh{n}@{z},probability function,Fishers-Hh,F|F:P,$\mathit{Hh}_{n}$,http://dlmf.nist.gov/7.18#E12,
\FresnelCos@{z},Fresnel integral $C$,Fresnel-cosine-integral,F|F:P,$C$,http://dlmf.nist.gov/7.2#E7,
\FresnelF@{z},Fresnel integral ${\mathcal F}$,Fresnel-integral,F|F:P,$\mathcal{F}$,http://dlmf.nist.gov/7.2#E6,
\FresnelSin@{z},Fresnel integral $S$,Fresnel-sine-integral,F|F:P,$S$,http://dlmf.nist.gov/7.2#E8,
\Fresnelf@{z},auxiliary function for Fresnel integrals ${\rm f}$,Fresnel-auxilliary-function-f,F|F:P,$\mathrm{f}$,http://dlmf.nist.gov/7.2#E10,
\Fresnelg@{z},auxiliary function for Fresnel integrals ${\rm g}$,Fresnel-auxilliary-function-g,F|F:P,$\mathrm{g}$,http://dlmf.nist.gov/7.2#E11,
\GammaP@{a}{z},normalized incomplete gamma function $P$,incomplete-gamma-P,F|F:P,$P$,http://dlmf.nist.gov/8.2#E4,
\GammaQ@{a}{z},normalized incomplete gamma function $Q$,incomplete-gamma-Q,F|F:P,$Q$,http://dlmf.nist.gov/8.2#E4,
\GaussSum@{n}{\DirichletCharacter},Gauss sum,Gauss-sum,F|F:P,$G$,http://dlmf.nist.gov/27.10#E9,
\GenBernoulliB{\ell}{n}@{x},generalized Bernoulli polynomial,generalized-Bernoulli-polynomial-B,P|F:P,$B^{(\ell)}_{n}$,http://dlmf.nist.gov/24.16#P1.p1,
\GenBesselFun@{\rho}{\beta}{z},generalized Bessel function,generalized-Bessel-function,F|F:P,$\phi$,http://dlmf.nist.gov/10.46#E1,
\GenEulerE{\ell}{n}@{x},generalized Euler polynomial,generalized-Euler-polynomial-E,P|F:P,$E^{(\ell)}_{n}$,http://dlmf.nist.gov/24.16#P1.p1,
\GenEulerSumH@{s}{z},generalized Euler sums,generalized-Euler-sum-H,F|F:P,$H$,http://dlmf.nist.gov/25.16#SS2.p7,
\GenGegenbauer{\alpha}{\beta}{n}@{x},Generalized Gegenbauer polynomial,generalized-Gegenbauer-polynomial-S,P|F:P,"$S^{(\alpha,\beta)}_{n}$",http://drmf.wmflabs.org/wiki/Definition:GenGegenbauer,
\GenHermite[\alpha]{n}@{x},generalized Hermite polynomial,generalized-Hermite-polynomial-H,P|FO:PO:FnO:PnO,$H_n^{\mu}$,http://drmf.wmflabs.org/wiki/Definition:GenHermite,
\GoodStat@{z},Goodwin-Staton integral,Goodwin-Staton-integral,F|F:P,$G$,http://dlmf.nist.gov/7.2#E12,
